family,stem,model,sp_cv5,sp_groupcv,sp_scaffoldcv,gap_cv5,gap_groupcv,gap_scaffoldcv
dl,stad_numeric_smiles_dl_v1,DL_MLP_ResidualStyle,0.8042155822367499,0.5219016723581296,0.42670235880248036,0.028434286217472883,0.24701240163296015,0.23365459880748252
dl,stad_numeric_smiles_dl_v1,DL_MLP_SELU_3x256,0.8205594861220726,0.4581882605448913,0.3863294720278416,0.037686101581866985,0.20653049195490358,0.2559243111282119
dl,stad_numeric_smiles_dl_v1,DL_MLP_WideNarrow,0.8000406453067168,0.5110248825064917,0.39606222793094026,0.028294857167477906,0.27810061023440125,0.42096543137277775
graph,stad_numeric_context_smiles_graph_v1,GAT,0.0885429740303385,0.17549929734213296,0.006981995682074203,-0.007152952931981227,-0.03438414566963544,-0.04556228651613481
graph,stad_numeric_context_smiles_graph_v1,GraphSAGE,0.1191433365454461,0.19946938572638992,0.009223097467542818,-0.02077074660950167,-0.007662496165307453,0.0899867994823625
graph,stad_numeric_graph_v1,GAT,0.08777978502797526,-0.0026941377771023908,0.010621960892799551,0.02315095571513045,0.01616946192948343,0.0618799237150146
graph,stad_numeric_graph_v1,GraphSAGE,0.122510457898182,0.08457918121563923,0.12656265774221942,0.020804751903390862,-0.0016664269762881646,0.018289640306603173
graph,stad_numeric_smiles_graph_v1,GAT,-0.0656008378032013,0.08447642414994505,-0.042896456945090845,-0.009079684123460918,0.012181809635943298,0.07463963437086842
graph,stad_numeric_smiles_graph_v1,GraphSAGE,0.16868842366729736,0.23923526344537085,0.011434382995792539,0.017694734200755118,-0.009432316659569812,0.00453831422119159
ml,stad_numeric_context_smiles_ml_v1,CatBoost,0.8578808752136771,0.5225248891325512,0.4637552518705763,0.10865277754128984,0.45080796128468653,0.5102248382954301
ml,stad_numeric_context_smiles_ml_v1,ExtraTrees,0.8501376094475743,0.46370191810186245,0.43519667255919536,0.1498623905524255,0.5362980818981375,0.5648033274408045
ml,stad_numeric_context_smiles_ml_v1,LightGBM,0.8571968535588788,0.45949846388462107,0.41679837086772215,0.1414238943902805,0.539424532978961,0.5820445257669213
ml,stad_numeric_context_smiles_ml_v1,RandomForest,0.8506303095604915,0.47296098054235264,0.4408902656986858,0.13316924609534894,0.5107949654359335,0.542738246653902
ml,stad_numeric_context_smiles_ml_v1,SVR_RBF,0.4003902783400946,0.35823119757987093,0.32969730471286357,0.003933390413840809,0.04167425099188413,0.073702514939655
ml,stad_numeric_context_smiles_ml_v1,XGBoost,0.8570375243198397,0.4948818809410344,0.4563137869143962,0.13838659924226038,0.502485488903622,0.5412232082101245
ml,stad_numeric_ml_v1,CatBoost,0.8572341516283164,0.5393507963753339,0.45965112907523425,0.10181549021963113,0.4275256669680454,0.5074231646548714
ml,stad_numeric_ml_v1,ExtraTrees,0.849457936629373,0.4651158608009904,0.42821391533391395,0.15054206337062703,0.5348841391990097,0.571786084666086
ml,stad_numeric_ml_v1,LightGBM,0.8576541502644937,0.49809367294460777,0.400037923262814,0.1395817000523965,0.4998840066222889,0.5976294452877572
ml,stad_numeric_ml_v1,RandomForest,0.8512343468401221,0.4931287826156406,0.42105751170980027,0.1325459529722994,0.49062279146570537,0.5625607595082494
ml,stad_numeric_ml_v1,SVR_RBF,0.40039291875813054,0.35832745485878315,0.32976683733952505,0.003896657636159395,0.04147788318267798,0.07355553939766803
ml,stad_numeric_ml_v1,XGBoost,0.8592596768161596,0.5134865248438841,0.44838836062890236,0.13423791993698286,0.48258265320900834,0.5476261740562046
ml,stad_numeric_smiles_ml_v1,CatBoost,0.859055703909061,0.5400532439926189,0.4676317087982948,0.10140484441000634,0.42732963762189685,0.49913729378772387
ml,stad_numeric_smiles_ml_v1,ExtraTrees,0.8496707709890565,0.45587487942787525,0.4211316484063272,0.1503292290109436,0.5441251205721248,0.5788683515936727
ml,stad_numeric_smiles_ml_v1,LightGBM,0.8566558889495568,0.4859958769153905,0.40767851828929486,0.14061263301088447,0.5120330774357261,0.5900204131619743
ml,stad_numeric_smiles_ml_v1,RandomForest,0.8512999518520866,0.4923732107115757,0.42043494021290945,0.13253628096867504,0.4913928945371729,0.5631531191234425
ml,stad_numeric_smiles_ml_v1,SVR_RBF,0.4004348064322712,0.3582220646235789,0.3296992294723736,0.003888910188634742,0.041631536803239576,0.07369195634277491
ml,stad_numeric_smiles_ml_v1,XGBoost,0.8589991705008533,0.5043029029904912,0.4518004163012927,0.13454640093220938,0.4918950957384645,0.5444881715416762
