target_text,normalized_target_text,candidate_class,suggested_gene_symbol,mapping_status,uniprot_id,mentions,source_breakdown,diseases,example_source_files,review_owner,notes
MTORC1,mtorc1,alias_or_family_review,,needs_uniprot_mapping,,8,candidate_target:3;evidence_target:5,Colon|Liver|STAD,Colon_drug_linkage.md|Colon_final_admet.csv|Liver_final_admet.csv|STAD_drug_linkage.csv|STAD_final_admet.csv,,alias/family/complex term; requires manual UniProt mapping
BCL2;NR1I2;TUBB1,bcl2;nr1i2;tubb1,multi_target_parse_review,,needs_uniprot_mapping,,6,candidate_target:2;evidence_target:4,PDAC,PDAC_drug_linkage.csv|PDAC_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
"PARP1, PARP2","parp1, parp2",multi_target_parse_review,,needs_uniprot_mapping,,5,candidate_target:1;evidence_target:4,BRCA|HNSC,BRCA_drug_linkage.csv|HNSC_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
Proteasome,proteasome,alias_or_family_review,,needs_uniprot_mapping,,5,candidate_target:3;evidence_target:2,Colon|HNSC|LUNG|STAD,Colon_drug_linkage.md|HNSC_final_admet.csv|LUNG_final_admet.csv|STAD_final_admet.csv,,alias/family/complex term; requires manual UniProt mapping
"AURKA, AURKB, AURKC, others","aurka, aurkb, aurkc, others",multi_target_parse_review,,needs_uniprot_mapping,,4,candidate_target:1;evidence_target:3,STAD,STAD_drug_linkage.csv|STAD_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
PI3Kgamma,pi3kgamma,alias_or_family_review,PIK3CG,needs_uniprot_mapping,,4,evidence_target:4,BRCA,BRCA_drug_linkage.csv,,alias/family/complex term; requires manual UniProt mapping
ABL;ABL1;CAMK2G;FGR;HCK;LYN;MAP2K1;MAP2K2;MAP3K2;SLK;SRC;TEC,abl;abl1;camk2g;fgr;hck;lyn;map2k1;map2k2;map3k2;slk;src;tec,multi_target_parse_review,,needs_uniprot_mapping,,3,candidate_target:1;evidence_target:2,PDAC,PDAC_drug_linkage.csv|PDAC_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
ANTHRACYCLINE;TOP2A;TOP2B,anthracycline;top2a;top2b,multi_target_parse_review,,needs_uniprot_mapping,,3,candidate_target:1;evidence_target:2,PDAC,PDAC_drug_linkage.csv|PDAC_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
ANTIMETABOLITE;POLB,antimetabolite;polb,multi_target_parse_review,,needs_uniprot_mapping,,3,candidate_target:1;evidence_target:2,PDAC,PDAC_drug_linkage.csv|PDAC_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
"BCL2, BCL-XL, MCL1","bcl2, bcl-xl, mcl1",multi_target_parse_review,,needs_uniprot_mapping,,3,candidate_target:3,Colon|HNSC|STAD,Colon_final_admet.csv|HNSC_final_admet.csv|STAD_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
BCL2;MAP4;MAPK1;TUBB,bcl2;map4;mapk1;tubb,multi_target_parse_review,,needs_uniprot_mapping,,3,candidate_target:1;evidence_target:2,PDAC,PDAC_drug_linkage.csv|PDAC_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
BRAF;LIMK1;NEK11;RAF1;SIK1,braf;limk1;nek11;raf1;sik1,multi_target_parse_review,,needs_uniprot_mapping,,3,candidate_target:1;evidence_target:2,PDAC,PDAC_drug_linkage.csv|PDAC_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
CAPN1;PROTEASOME,capn1;proteasome,multi_target_parse_review,,needs_uniprot_mapping,,3,candidate_target:1;evidence_target:2,PDAC,PDAC_drug_linkage.csv|PDAC_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
CDK2,cdk2,exact_gene_symbol_candidate,CDK2,needs_uniprot_mapping,,3,candidate_target:1;evidence_target:2,PDAC,PDAC_drug_linkage.csv|PDAC_final_admet.csv,,clean gene-like symbol; still requires UniProt confirmation
CDK2;CHRM1;CSK;GSK3B;IKBKB;ITK;LCK;MAPKAPK2;PDPK1;PIK3CG;PIM1;PRKCA;PRKCQ;SYK;ZAP70,cdk2;chrm1;csk;gsk3b;ikbkb;itk;lck;mapkapk2;pdpk1;pik3cg;pim1;prkca;prkcq;syk;zap70,multi_target_parse_review,,needs_uniprot_mapping,,3,candidate_target:1;evidence_target:2,PDAC,PDAC_drug_linkage.csv|PDAC_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
ETB,etb,alias_or_family_review,EDNRB,needs_uniprot_mapping,,3,candidate_target:3,PAH,PAH_final_admet.csv,,alias/family/complex term; requires manual UniProt mapping
FLT3;JAK2;NTRK1;NTRK2;NTRK3,flt3;jak2;ntrk1;ntrk2;ntrk3,multi_target_parse_review,,needs_uniprot_mapping,,3,candidate_target:1;evidence_target:2,PDAC,PDAC_drug_linkage.csv|PDAC_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
IGF1R;IR,igf1r;ir,multi_target_parse_review,,needs_uniprot_mapping,,3,candidate_target:1;evidence_target:2,PDAC,PDAC_drug_linkage.csv|PDAC_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
IKK-1;IKK-2,ikk-1;ikk-2,multi_target_parse_review,,needs_uniprot_mapping,,3,candidate_target:1;evidence_target:2,PDAC,PDAC_drug_linkage.csv|PDAC_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
JUN;TUBA1A;TUBB;TUBB2A;TUBD1;TUBE1;TUBG1,jun;tuba1a;tubb;tubb2a;tubd1;tube1;tubg1,multi_target_parse_review,,needs_uniprot_mapping,,3,candidate_target:1;evidence_target:2,PDAC,PDAC_drug_linkage.csv|PDAC_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
MAP2K1;MAP2K2,map2k1;map2k2,multi_target_parse_review,,needs_uniprot_mapping,,3,candidate_target:1;evidence_target:2,PDAC,PDAC_drug_linkage.csv|PDAC_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
MTOR;PIK3CG,mtor;pik3cg,multi_target_parse_review,,needs_uniprot_mapping,,3,candidate_target:1;evidence_target:2,PDAC,PDAC_drug_linkage.csv|PDAC_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
"mTORC1, mTORC2","mtorc1, mtorc2",multi_target_parse_review,,needs_uniprot_mapping,,3,candidate_target:1;evidence_target:2,Colon,Colon_drug_linkage.md|Colon_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
PDGFRB,pdgfrb,exact_gene_symbol_candidate,PDGFRB,needs_uniprot_mapping,,3,candidate_target:3,IPF,IPF_final_tiered.csv,,clean gene-like symbol; still requires UniProt confirmation
PI3Kbeta,pi3kbeta,alias_or_family_review,PIK3CB,needs_uniprot_mapping,,3,candidate_target:1;evidence_target:2,Colon,Colon_drug_linkage.md|Colon_final_admet.csv,,alias/family/complex term; requires manual UniProt mapping
PIK3CG,pik3cg,exact_gene_symbol_candidate,PIK3CG,needs_uniprot_mapping,,3,candidate_target:1;evidence_target:2,PDAC,PDAC_drug_linkage.csv|PDAC_final_admet.csv,,clean gene-like symbol; still requires UniProt confirmation
"PLK1, PLK2, PLK3","plk1, plk2, plk3",multi_target_parse_review,,needs_uniprot_mapping,,3,candidate_target:3,HNSC|LUNG|STAD,HNSC_final_admet.csv|LUNG_final_admet.csv|STAD_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
PLK1;PLK2;PLK3,plk1;plk2;plk3,multi_target_parse_review,,needs_uniprot_mapping,,3,candidate_target:1;evidence_target:2,PDAC,PDAC_drug_linkage.csv|PDAC_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
PLK1;WEE1,plk1;wee1,multi_target_parse_review,,needs_uniprot_mapping,,3,candidate_target:1;evidence_target:2,PDAC,PDAC_drug_linkage.csv|PDAC_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
"Proteasome, CAPN1","proteasome, capn1",multi_target_parse_review,,needs_uniprot_mapping,,3,candidate_target:3,HNSC|Liver|STAD,HNSC_final_admet.csv|Liver_final_admet.csv|STAD_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
PROTEASOME;PRSS1;PSMB1;PSMB5,proteasome;prss1;psmb1;psmb5,multi_target_parse_review,,needs_uniprot_mapping,,3,candidate_target:1;evidence_target:2,PDAC,PDAC_drug_linkage.csv|PDAC_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
TOP1;TOP1MT,top1;top1mt,multi_target_parse_review,,needs_uniprot_mapping,,3,candidate_target:1;evidence_target:2,PDAC,PDAC_drug_linkage.csv|PDAC_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
TOP1;TOP2A,top1;top2a,multi_target_parse_review,,needs_uniprot_mapping,,3,candidate_target:1;evidence_target:2,PDAC,PDAC_drug_linkage.csv|PDAC_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
TOP2;TOP2A;TOP2B,top2;top2a;top2b,multi_target_parse_review,,needs_uniprot_mapping,,3,candidate_target:1;evidence_target:2,PDAC,PDAC_drug_linkage.csv|PDAC_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
TOP2A;TOP2B,top2a;top2b,multi_target_parse_review,,needs_uniprot_mapping,,3,candidate_target:1;evidence_target:2,PDAC,PDAC_drug_linkage.csv|PDAC_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
TP53,tp53,exact_gene_symbol_candidate,TP53,needs_uniprot_mapping,,3,evidence_target:3,BRCA,BRCA_drug_linkage.csv,,clean gene-like symbol; still requires UniProt confirmation
"ABL|EPHRINS|KIT|PDGFR|SRC ABL, SRC, Ephrins, PDGFR, KIT Other, kinases ABL|EPHRINS|KIT|PDGFR|SRC","abl|ephrins|kit|pdgfr|src abl, src, ephrins, pdgfr, kit other, kinases abl|ephrins|kit|pdgfr|src",multi_target_parse_review,,needs_uniprot_mapping,,2,evidence_target:2,HNSC,HNSC_drug_linkage.csv,,contains multiple target tokens; parse before UniProt mapping
"BCL-XL|BCL2|MCL1 BCL2, BCL-XL, MCL1 Apoptosis regulation BCL2|BCL2L1|MCL1","bcl-xl|bcl2|mcl1 bcl2, bcl-xl, mcl1 apoptosis regulation bcl2|bcl2l1|mcl1",multi_target_parse_review,,needs_uniprot_mapping,,2,evidence_target:2,HNSC,HNSC_drug_linkage.csv,,contains multiple target tokens; parse before UniProt mapping
broad kinase; research-only signal,broad kinase; research-only signal,multi_target_parse_review,,needs_uniprot_mapping,,2,evidence_target:2,RA,RA_drug_linkage.csv,,contains multiple target tokens; parse before UniProt mapping
"CDK4, CDK6","cdk4, cdk6",multi_target_parse_review,,needs_uniprot_mapping,,2,candidate_target:2,HNSC,HNSC_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
DOT1L,dot1l,exact_gene_symbol_candidate,DOT1L,needs_uniprot_mapping,,2,candidate_target:2,LUNG,LUNG_final_admet.csv,,clean gene-like symbol; still requires UniProt confirmation
"EGFR, ERBB2","egfr, erbb2",multi_target_parse_review,,needs_uniprot_mapping,,2,candidate_target:2,HNSC,HNSC_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
"FLT3, JAK2, NTRK1, NTRK2, NTRK3","flt3, jak2, ntrk1, ntrk2, ntrk3",multi_target_parse_review,,needs_uniprot_mapping,,2,candidate_target:2,Liver|STAD,Liver_final_admet.csv|STAD_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
"HDAC1, HDAC3","hdac1, hdac3",multi_target_parse_review,,needs_uniprot_mapping,,2,candidate_target:2,HNSC|LUNG,HNSC_final_admet.csv|LUNG_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
"HDAC1|HDAC2|HDAC3|HDAC8 HDAC1, HDAC2, HDAC3, HDAC8 Chromatin histone acetylation HDAC1|HDAC2|HDAC3|HDAC8","hdac1|hdac2|hdac3|hdac8 hdac1, hdac2, hdac3, hdac8 chromatin histone acetylation hdac1|hdac2|hdac3|hdac8",multi_target_parse_review,,needs_uniprot_mapping,,2,evidence_target:2,HNSC,HNSC_drug_linkage.csv,,contains multiple target tokens; parse before UniProt mapping
"HDAC1|HDAC3 HDAC1, HDAC3 Chromatin histone acetylation HDAC1|HDAC3","hdac1|hdac3 hdac1, hdac3 chromatin histone acetylation hdac1|hdac3",multi_target_parse_review,,needs_uniprot_mapping,,2,evidence_target:2,HNSC,HNSC_drug_linkage.csv,,contains multiple target tokens; parse before UniProt mapping
KDR,kdr,exact_gene_symbol_candidate,KDR,needs_uniprot_mapping,,2,candidate_target:2,IPF,IPF_final_tiered.csv,,clean gene-like symbol; still requires UniProt confirmation
"PARP1|PARP2 PARP1, PARP2 Genome integrity PARP1|PARP2","parp1|parp2 parp1, parp2 genome integrity parp1|parp2",multi_target_parse_review,,needs_uniprot_mapping,,2,evidence_target:2,HNSC,HNSC_drug_linkage.csv,,contains multiple target tokens; parse before UniProt mapping
"PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma","pi3kalpha, pi3kdelta, pi3kbeta, pi3kgamma",multi_target_parse_review,,needs_uniprot_mapping,,2,candidate_target:2,HNSC|LUNG,HNSC_final_admet.csv|LUNG_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
"SRC, ABL, TEC","src, abl, tec",multi_target_parse_review,,needs_uniprot_mapping,,2,candidate_target:2,Liver|STAD,Liver_final_admet.csv|STAD_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
"ABL, SRC, Ephrins, PDGFR, KIT","abl, src, ephrins, pdgfr, kit",multi_target_parse_review,,needs_uniprot_mapping,,1,candidate_target:1,HNSC,HNSC_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
"AKT1, AKT2","akt1, akt2",multi_target_parse_review,,needs_uniprot_mapping,,1,candidate_target:1,HNSC,HNSC_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
"AKT1, AKT2, AKT3","akt1, akt2, akt3",multi_target_parse_review,,needs_uniprot_mapping,,1,candidate_target:1,HNSC,HNSC_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
AURKA,aurka,exact_gene_symbol_candidate,AURKA,needs_uniprot_mapping,,1,candidate_target:1,HNSC,HNSC_final_admet.csv,,clean gene-like symbol; still requires UniProt confirmation
AURKA|AURKB|AURKC|OTHERS,aurka|aurkb|aurkc|others,multi_target_parse_review,,needs_uniprot_mapping,,1,evidence_target:1,Liver,Liver_drug_linkage.csv,,contains multiple target tokens; parse before UniProt mapping
"BCL2, BCL-XL, BCL-W","bcl2, bcl-xl, bcl-w",multi_target_parse_review,,needs_uniprot_mapping,,1,candidate_target:1,Colon,Colon_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
"BCL2, BCL-XL, BFL1, MCL1","bcl2, bcl-xl, bfl1, mcl1",multi_target_parse_review,,needs_uniprot_mapping,,1,candidate_target:1,Colon,Colon_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
EGFR,egfr,exact_gene_symbol_candidate,EGFR,needs_uniprot_mapping,,1,candidate_target:1,HNSC,HNSC_final_admet.csv,,clean gene-like symbol; still requires UniProt confirmation
EGLN1,egln1,exact_gene_symbol_candidate,EGLN1,needs_uniprot_mapping,,1,candidate_target:1,LUNG,LUNG_final_admet.csv,,clean gene-like symbol; still requires UniProt confirmation
FGFR2,fgfr2,exact_gene_symbol_candidate,FGFR2,needs_uniprot_mapping,,1,candidate_target:1,IPF,IPF_final_tiered.csv,,clean gene-like symbol; still requires UniProt confirmation
"HDAC1, HDAC2, HDAC3, HDAC8","hdac1, hdac2, hdac3, hdac8",multi_target_parse_review,,needs_uniprot_mapping,,1,candidate_target:1,HNSC,HNSC_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
MET,met,exact_gene_symbol_candidate,MET,needs_uniprot_mapping,,1,candidate_target:1,LUNG,LUNG_final_admet.csv,,clean gene-like symbol; still requires UniProt confirmation
"MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR","met, kdr, tie2, vegfr3/flt4, ron, pdgfr, fgfr1, egfr",multi_target_parse_review,,needs_uniprot_mapping,,1,candidate_target:1,HNSC,HNSC_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
NAE,nae,alias_or_family_review,,needs_uniprot_mapping,,1,candidate_target:1,STAD,STAD_final_admet.csv,,alias/family/complex term; requires manual UniProt mapping
PPM1D,ppm1d,exact_gene_symbol_candidate,PPM1D,needs_uniprot_mapping,,1,evidence_target:1,BRCA,BRCA_drug_linkage.csv,,clean gene-like symbol; still requires UniProt confirmation
"RSK, AURKB, PIM1, PIM3","rsk, aurkb, pim1, pim3",multi_target_parse_review,,needs_uniprot_mapping,,1,candidate_target:1,STAD,STAD_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
"TBK1, PDK1 (PDPK1), IKK, AURKB, AURKC","tbk1, pdk1 (pdpk1), ikk, aurkb, aurkc",multi_target_parse_review,,needs_uniprot_mapping,,1,candidate_target:1,STAD,STAD_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
TOP2,top2,alias_or_family_review,,needs_uniprot_mapping,,1,candidate_target:1,STAD,STAD_final_admet.csv,,alias/family/complex term; requires manual UniProt mapping
"WEE1, PLK1","wee1, plk1",multi_target_parse_review,,needs_uniprot_mapping,,1,candidate_target:1,HNSC,HNSC_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
"XIAP, cIAP","xiap, ciap",multi_target_parse_review,,needs_uniprot_mapping,,1,candidate_target:1,STAD,STAD_final_admet.csv,,contains multiple target tokens; parse before UniProt mapping
