structure_id,protein_id,gene_symbol,uniprot_id,provider,provider_accession,entry_id,version,file_format,structure_uri,source_url,pae_uri,pdb_url,mean_plddt,confidence_summary,license,status,api_status,model_created_date,notes
af_o14965_f1_v6,protein_o14965,AURKA,O14965,alphafold_db,O14965,AF-O14965-F1,v6,cif,https://alphafold.ebi.ac.uk/files/AF-O14965-F1-model_v6.cif,https://alphafold.ebi.ac.uk/entry/AF-O14965-F1,https://alphafold.ebi.ac.uk/files/AF-O14965-F1-predicted_aligned_error_v6.json,https://alphafold.ebi.ac.uk/files/AF-O14965-F1-model_v6.pdb,75.06,metadata_available_download_not_performed,CC-BY-4.0,to_fetch,http_200,2025-08-01T00:00:00Z,AlphaFold DB canonical F1 metadata only; structure file not downloaded; excluded_noncanonical_entries=0
af_p06213_f1_v6,protein_p06213,INSR,P06213,alphafold_db,P06213,AF-P06213-F1,v6,cif,https://alphafold.ebi.ac.uk/files/AF-P06213-F1-model_v6.cif,https://alphafold.ebi.ac.uk/entry/AF-P06213-F1,https://alphafold.ebi.ac.uk/files/AF-P06213-F1-predicted_aligned_error_v6.json,https://alphafold.ebi.ac.uk/files/AF-P06213-F1-model_v6.pdb,77.62,metadata_available_download_not_performed,CC-BY-4.0,to_fetch,http_200,2025-08-01T00:00:00Z,AlphaFold DB canonical F1 metadata only; structure file not downloaded; excluded_noncanonical_entries=1
af_p23458_f1_v6,protein_p23458,JAK1,P23458,alphafold_db,P23458,AF-P23458-F1,v6,cif,https://alphafold.ebi.ac.uk/files/AF-P23458-F1-model_v6.cif,https://alphafold.ebi.ac.uk/entry/AF-P23458-F1,https://alphafold.ebi.ac.uk/files/AF-P23458-F1-predicted_aligned_error_v6.json,https://alphafold.ebi.ac.uk/files/AF-P23458-F1-model_v6.pdb,85.56,metadata_available_download_not_performed,CC-BY-4.0,to_fetch,http_200,2025-08-01T00:00:00Z,AlphaFold DB canonical F1 metadata only; structure file not downloaded; excluded_noncanonical_entries=0
af_o60674_f1_v6,protein_o60674,JAK2,O60674,alphafold_db,O60674,AF-O60674-F1,v6,cif,https://alphafold.ebi.ac.uk/files/AF-O60674-F1-model_v6.cif,https://alphafold.ebi.ac.uk/entry/AF-O60674-F1,https://alphafold.ebi.ac.uk/files/AF-O60674-F1-predicted_aligned_error_v6.json,https://alphafold.ebi.ac.uk/files/AF-O60674-F1-model_v6.pdb,86.88,metadata_available_download_not_performed,CC-BY-4.0,to_fetch,http_200,2025-08-01T00:00:00Z,AlphaFold DB canonical F1 metadata only; structure file not downloaded; excluded_noncanonical_entries=0
af_p52333_f1_v6,protein_p52333,JAK3,P52333,alphafold_db,P52333,AF-P52333-F1,v6,cif,https://alphafold.ebi.ac.uk/files/AF-P52333-F1-model_v6.cif,https://alphafold.ebi.ac.uk/entry/AF-P52333-F1,https://alphafold.ebi.ac.uk/files/AF-P52333-F1-predicted_aligned_error_v6.json,https://alphafold.ebi.ac.uk/files/AF-P52333-F1-model_v6.pdb,85.69,metadata_available_download_not_performed,CC-BY-4.0,to_fetch,http_200,2025-08-01T00:00:00Z,AlphaFold DB canonical F1 metadata only; structure file not downloaded; excluded_noncanonical_entries=2
af_p35968_f1_v6,protein_p35968,KDR,P35968,alphafold_db,P35968,AF-P35968-F1,v6,cif,https://alphafold.ebi.ac.uk/files/AF-P35968-F1-model_v6.cif,https://alphafold.ebi.ac.uk/entry/AF-P35968-F1,https://alphafold.ebi.ac.uk/files/AF-P35968-F1-predicted_aligned_error_v6.json,https://alphafold.ebi.ac.uk/files/AF-P35968-F1-model_v6.pdb,71.12,metadata_available_download_not_performed,CC-BY-4.0,to_fetch,http_200,2025-08-01T00:00:00Z,AlphaFold DB canonical F1 metadata only; structure file not downloaded; excluded_noncanonical_entries=2
af_q02750_f1_v6,protein_q02750,MAP2K1,Q02750,alphafold_db,Q02750,AF-Q02750-F1,v6,cif,https://alphafold.ebi.ac.uk/files/AF-Q02750-F1-model_v6.cif,https://alphafold.ebi.ac.uk/entry/AF-Q02750-F1,https://alphafold.ebi.ac.uk/files/AF-Q02750-F1-predicted_aligned_error_v6.json,https://alphafold.ebi.ac.uk/files/AF-Q02750-F1-model_v6.pdb,83.25,metadata_available_download_not_performed,CC-BY-4.0,to_fetch,http_200,2025-08-01T00:00:00Z,AlphaFold DB canonical F1 metadata only; structure file not downloaded; excluded_noncanonical_entries=1
af_p36507_f1_v6,protein_p36507,MAP2K2,P36507,alphafold_db,P36507,AF-P36507-F1,v6,cif,https://alphafold.ebi.ac.uk/files/AF-P36507-F1-model_v6.cif,https://alphafold.ebi.ac.uk/entry/AF-P36507-F1,https://alphafold.ebi.ac.uk/files/AF-P36507-F1-predicted_aligned_error_v6.json,https://alphafold.ebi.ac.uk/files/AF-P36507-F1-model_v6.pdb,81.62,metadata_available_download_not_performed,CC-BY-4.0,to_fetch,http_200,2025-08-01T00:00:00Z,AlphaFold DB canonical F1 metadata only; structure file not downloaded; excluded_noncanonical_entries=0
af_p42345_f1_v6,protein_p42345,MTOR,P42345,alphafold_db,P42345,AF-P42345-F1,v6,cif,https://alphafold.ebi.ac.uk/files/AF-P42345-F1-model_v6.cif,https://alphafold.ebi.ac.uk/entry/AF-P42345-F1,https://alphafold.ebi.ac.uk/files/AF-P42345-F1-predicted_aligned_error_v6.json,https://alphafold.ebi.ac.uk/files/AF-P42345-F1-model_v6.pdb,78.0,metadata_available_download_not_performed,CC-BY-4.0,to_fetch,http_200,2025-08-01T00:00:00Z,AlphaFold DB canonical F1 metadata only; structure file not downloaded; excluded_noncanonical_entries=0
af_o76074_f1_v6,protein_o76074,PDE5A,O76074,alphafold_db,O76074,AF-O76074-F1,v6,cif,https://alphafold.ebi.ac.uk/files/AF-O76074-F1-model_v6.cif,https://alphafold.ebi.ac.uk/entry/AF-O76074-F1,https://alphafold.ebi.ac.uk/files/AF-O76074-F1-predicted_aligned_error_v6.json,https://alphafold.ebi.ac.uk/files/AF-O76074-F1-model_v6.pdb,82.0,metadata_available_download_not_performed,CC-BY-4.0,to_fetch,http_200,2025-08-01T00:00:00Z,AlphaFold DB canonical F1 metadata only; structure file not downloaded; excluded_noncanonical_entries=1
af_p09619_f1_v6,protein_p09619,PDGFRB,P09619,alphafold_db,P09619,AF-P09619-F1,v6,cif,https://alphafold.ebi.ac.uk/files/AF-P09619-F1-model_v6.cif,https://alphafold.ebi.ac.uk/entry/AF-P09619-F1,https://alphafold.ebi.ac.uk/files/AF-P09619-F1-predicted_aligned_error_v6.json,https://alphafold.ebi.ac.uk/files/AF-P09619-F1-model_v6.pdb,72.44,metadata_available_download_not_performed,CC-BY-4.0,to_fetch,http_200,2025-08-01T00:00:00Z,AlphaFold DB canonical F1 metadata only; structure file not downloaded; excluded_noncanonical_entries=1
af_p42338_f1_v6,protein_p42338,PIK3CB,P42338,alphafold_db,P42338,AF-P42338-F1,v6,cif,https://alphafold.ebi.ac.uk/files/AF-P42338-F1-model_v6.cif,https://alphafold.ebi.ac.uk/entry/AF-P42338-F1,https://alphafold.ebi.ac.uk/files/AF-P42338-F1-predicted_aligned_error_v6.json,https://alphafold.ebi.ac.uk/files/AF-P42338-F1-model_v6.pdb,86.38,metadata_available_download_not_performed,CC-BY-4.0,to_fetch,http_200,2025-08-01T00:00:00Z,AlphaFold DB canonical F1 metadata only; structure file not downloaded; excluded_noncanonical_entries=0
af_p48736_f1_v6,protein_p48736,PIK3CG,P48736,alphafold_db,P48736,AF-P48736-F1,v6,cif,https://alphafold.ebi.ac.uk/files/AF-P48736-F1-model_v6.cif,https://alphafold.ebi.ac.uk/entry/AF-P48736-F1,https://alphafold.ebi.ac.uk/files/AF-P48736-F1-predicted_aligned_error_v6.json,https://alphafold.ebi.ac.uk/files/AF-P48736-F1-model_v6.pdb,87.81,metadata_available_download_not_performed,CC-BY-4.0,to_fetch,http_200,2025-08-01T00:00:00Z,AlphaFold DB canonical F1 metadata only; structure file not downloaded; excluded_noncanonical_entries=0
af_o15297_f1_v6,protein_o15297,PPM1D,O15297,alphafold_db,O15297,AF-O15297-F1,v6,cif,https://alphafold.ebi.ac.uk/files/AF-O15297-F1-model_v6.cif,https://alphafold.ebi.ac.uk/entry/AF-O15297-F1,https://alphafold.ebi.ac.uk/files/AF-O15297-F1-predicted_aligned_error_v6.json,https://alphafold.ebi.ac.uk/files/AF-O15297-F1-model_v6.pdb,67.88,metadata_available_download_not_performed,CC-BY-4.0,to_fetch,http_200,2025-08-01T00:00:00Z,AlphaFold DB canonical F1 metadata only; structure file not downloaded; excluded_noncanonical_entries=1
af_p11387_f1_v6,protein_p11387,TOP1,P11387,alphafold_db,P11387,AF-P11387-F1,v6,cif,https://alphafold.ebi.ac.uk/files/AF-P11387-F1-model_v6.cif,https://alphafold.ebi.ac.uk/entry/AF-P11387-F1,https://alphafold.ebi.ac.uk/files/AF-P11387-F1-predicted_aligned_error_v6.json,https://alphafold.ebi.ac.uk/files/AF-P11387-F1-model_v6.pdb,80.38,metadata_available_download_not_performed,CC-BY-4.0,to_fetch,http_200,2025-08-01T00:00:00Z,AlphaFold DB canonical F1 metadata only; structure file not downloaded; excluded_noncanonical_entries=0
af_p04637_f1_v6,protein_p04637,TP53,P04637,alphafold_db,P04637,AF-P04637-F1,v6,cif,https://alphafold.ebi.ac.uk/files/AF-P04637-F1-model_v6.cif,https://alphafold.ebi.ac.uk/entry/AF-P04637-F1,https://alphafold.ebi.ac.uk/files/AF-P04637-F1-predicted_aligned_error_v6.json,https://alphafold.ebi.ac.uk/files/AF-P04637-F1-model_v6.pdb,75.06,metadata_available_download_not_performed,CC-BY-4.0,to_fetch,http_200,2025-08-01T00:00:00Z,AlphaFold DB canonical F1 metadata only; structure file not downloaded; excluded_noncanonical_entries=8
af_p29597_f1_v6,protein_p29597,TYK2,P29597,alphafold_db,P29597,AF-P29597-F1,v6,cif,https://alphafold.ebi.ac.uk/files/AF-P29597-F1-model_v6.cif,https://alphafold.ebi.ac.uk/entry/AF-P29597-F1,https://alphafold.ebi.ac.uk/files/AF-P29597-F1-predicted_aligned_error_v6.json,https://alphafold.ebi.ac.uk/files/AF-P29597-F1-model_v6.pdb,81.75,metadata_available_download_not_performed,CC-BY-4.0,to_fetch,http_200,2025-08-01T00:00:00Z,AlphaFold DB canonical F1 metadata only; structure file not downloaded; excluded_noncanonical_entries=0
